,Tipo,Empresa,Setor,Subsetor,Cotação,Data últ cot,Min 52 sem,Max 52 sem,Vol $ méd (2m),Valor de mercado,Valor da firma,Últ balanço processado,Nro Ações,oscilations_Dia,oscilations_Mês,oscilations_30 dias,oscilations_12 meses,oscilations_2020,oscilations_2019,oscilations_2018,oscilations_2017,oscilations_2016,oscilations_2015,,indicator_P/L,indicator_P/VP,indicator_P/EBIT,indicator_PSR,indicator_P/Ativos,indicator_P/Cap Giro,indicator_P/Ativ Circ Liq,indicator_Div Yield,indicator_EV / EBITDA,indicator_EV / EBIT,indicator_Cres Rec (5a),indicator_LPA,indicator_VPA,indicator_Marg Bruta,indicator_Marg EBIT,indicator_Marg Líquida,indicator_EBIT / Ativo,indicator_ROIC,indicator_ROE,indicator_Liquidez Corr,indicator_Div Br/ Patrim,indicator_Giro Ativos,Ativo,Disponibilidades,Ativo Circulante,Dív Bruta,Dív Líquida,Patrim Líq,demonstrative12m_Receita Líquida,demonstrative12m_EBIT,demonstrative12m_Lucro Líquido,demontrative3m_Receita Líquida,demontrative3m_EBIT,demontrative3m_Lucro Líquido,Cart de Crédito,Depósitos,demonstrative12m_Result Int Financ,demonstrative12m_Rec Serviços,demontrative3m_Result Int Financ,demontrative3m_Rec Serviços
IDVL3,ON N1,Indusval ON N1,Financeiros,Bancos,231,30/06/2020,166,398,207728,200505000,-,31/12/2019,86798800,"-2,12%","17,26%","17,26%","-45,77%","-40,62%","-24,02%","21,33%","-11,53%","-15,87%","-49,33%",,-1753,052,-,-,-,-,-,"0,0%",-,-,-,-013,443,-,-,"0,0%","0,0%",-,"-3,0%",-,-,-,2870590000,,,,,384430000,,,-11437000,,,-14618000,144281000,1850210000,7849000,2775000,-7797000,1066000
MAPT4,PN,CIA MARCOPOLO PN,Outros,Outros,6099,24/06/2020,200,20000,18775,56049800,56049800,31/03/2020,919000,"0,00%","96,81%","96,81%","2697,71%","87,72%","990,27%","-14,86%","75,00%","-20,00%","-39,02%",,-30462,-991,-34599,-,7251,-,-,"0,0%",-34599,-34599,-,-020,-616,-,-,"0,0%","-21,0%",-,"3,3%",-,-,-,773000,0,0,0,0,-5657000,0,-162000,-184000,0,-74000,-80000,,,,,,
RCSL4,PN,RECRUSUL PN,Material de Transporte,Material Rodoviário,215,30/06/2020,082,295,3701430,163019000,162945000,31/03/2020,75823000,"2,87%","64,12%","64,12%","80,67%","22,16%","32,33%","-15,29%","-74,72%","-44,35%","-31,74%",,-4994,-240,24044,824,429,-1339,-177,"0,0%",15668,24033,"172,1%",-004,-090,"23,6%","3,4%","-16,5%","1,8%","1,8%","4,8%",054,-000,052,38019000,167000,14188000,93000,-74000,-68040000,19785000,678000,-3264000,4223000,-207000,-1255000,,,,,,
TEKA3,ON,TEKA SA ON,"Tecidos, Vestuário e Calçados",Fios e Tecidos,4050,30/06/2020,651,5200,83249,20371500,490288000,31/03/2020,503000,"15,38%","472,03%","472,03%","307,86%","406,25%","-8,78%","-26,24%","96,53%","-53,46%","-71,74%",,-016,-001,-184,014,002,-001,-001,"0,0%",-7919,-4419,"-0,7%",-25347,-317438,"15,6%","-7,6%","-87,8%","-1,1%","-1,8%","8,0%",002,-029,015,975330000,88000,54891000,470004000,469916000,-1596710000,145141000,-11094000,-127494000,30478000,-1627000,-34310000,,,,,,
PINE4,PN,Pine PN,Financeiros,Bancos,292,30/06/2020,153,490,952942,432621000,-,31/03/2020,148158000,"-0,68%","6,57%","6,57%","21,16%","-30,48%","90,05%","-36,86%","-11,62%","16,47%","-31,73%",,-543,051,-,-,-,-,-,"0,0%",-,-,"-26,0%",-054,568,-,-,"0,0%","0,0%",-,"-9,5%",-,-,-,11330000000,,,,,841823000,,,-79744000,,,-2282000,2462670000,6312290000,-85269000,35151000,39542000,7625000
RNEW3,ON N2,RENOVA ON N2,Energia Elétrica,Energia Elétrica,340,30/06/2020,225,778,176936,141848000,1688980000,31/03/2020,41720000,"-1,45%","38,21%","38,21%","-55,50%","-33,85%","-30,73%","-68,56%","-78,19%","-17,15%","5,15%",,-016,-012,-126,286,006,-005,-004,"0,0%",-1756,-1500,"-33,6%",-2121,-2741,"52,3%","-227,2%","-1785,6%","-4,8%","-5,8%","77,4%",003,-140,002,2343700000,53902000,76833000,1601030000,1547130000,-1143710000,49560000,-112600000,-884938000,12332000,-9760000,-53166000,,,,,,
KLBN3,ON N2,KLABIN ON N2,Madeira e Papel,Papel e Celulose,417,30/06/2020,258,474,2061660,23137200000,43518400000,31/03/2020,5548500000,"1,71%","2,96%","2,96%","4,63%","-2,01%","1,00%","-10,34%","-14,13%","-27,65%","150,17%",,-1009,802,1170,223,068,256,-126,"3,1%",996,2200,"15,8%",-041,052,"34,3%","19,1%","-21,5%","5,8%","7,8%","-79,5%",393,956,031,33839200000,7214980000,12108900000,27596100000,20381100000,2885760000,10373200000,1977780000,-2293890000,2591390000,598108000,-3170510000,,,,,,
PDGR3,ON NM,PDG REALT ON NM,Construção e Engenharia,Construção Civil,500,30/06/2020,278,880,449318,40335000,1626370000,31/03/2020,8067000,"-3,29%","45,77%","45,77%","-28,16%","-32,34%","-33,42%","-51,10%","90,76%","-26,99%","-95,53%",,-005,-001,-059,019,002,-002,-001,"0,0%",-2495,-2376,"-28,6%",-10348,-62461,"14,3%","-31,4%","-385,9%","-3,7%","-4,2%","16,6%",038,-034,012,1861290000,108267000,1439710000,1694300000,1586030000,-5038720000,218005000,-68440000,-834807000,46898000,-4649000,-175016000,,,,,,
NORD3,ON,NORDON INDS METALURGICAS SA ON,Máquinas e Equipamentos,Máqs e Equips Industriais,747,30/06/2020,131,1000,28770,49458900,86562900,31/03/2020,6621000,"11,16%","100,27%","100,27%","549,57%","55,30%","251,10%","-77,13%","0,00%","0,00%","0,00%",,-1648630,-035,-7096,3195,291,-103,-032,"0,0%",-12419,-12419,"116,6%",-000,-2105,"91,9%","-45,0%","-0,2%","-4,1%","-4,2%","0,0%",002,-027,009,17023000,176000,1056000,37280000,37104000,-139342000,1548000,-697000,-3000,447000,27000,-46000,,,,,,
PETR3,ON,PETROBRAS ON,"Petróleo, Gás e Biocombustíveis",Exploração e/ou Refino e Distribuição,2234,30/06/2020,1105,3328,406517000,291414000000,671602000000,31/03/2020,13044500000,"-0,98%","7,20%","7,20%","-24,76%","-30,19%","27,74%","51,54%","-0,18%","97,38%","-4,55%",,-2347,126,292,098,030,1015,-051,"1,8%",408,672,"1,1%",-095,1777,"42,8%","33,6%","-4,4%","10,3%","11,6%","-5,4%",121,200,031,971645000000,83728000000,163562000000,463916000000,380188000000,231829000000,297715000000,99904000000,-12417000000,75469000000,23881000000,-48523000000,,,,,,
CEED3,ON N1,CEEE-D ON N1,Energia Elétrica,Energia Elétrica,8800,22/06/2020,7203,11200,4049,851928000,1827620000,31/03/2020,9681000,"0,00%","0,00%","0,00%","-12,00%","-12,00%","166,67%","25,04%","1,70%","47,45%","-64,29%",,-063,-021,-292,025,021,-025,-012,"0,0%",-1277,-626,"3,1%",-13869,-42301,"0,1%","-8,5%","-39,1%","-7,1%","-8,3%","32,8%",026,-025,083,4130680000,35509000,1184910000,1011200000,975688000,-4095110000,3430470000,-291966000,-1342640000,947197000,6004000,-497637000,,,,,,
